surveyID,email,musicID,genreID,userRating
1,hbernetti0@a8.net,1,921,1
2,lwren1@usnews.com,2,921,5
3,abellelli2@about.com,3,921,4
4,abouttell3@wired.com,4,921,5
5,dmaccollom4@addthis.com,5,921,1
6,kcuvley5@answers.com,6,921,4
7,bpearson6@123-reg.co.uk,7,921,2
8,sjerrard7@netlog.com,8,921,5
9,hizakof8@etsy.com,9,921,2
10,csommerton9@ehow.com,10,921,2
11,bflindalla@tmall.com,11,921,2
12,lhymusb@weather.com,12,921,5
13,jbleasdalec@webeden.co.uk,13,921,3
14,gcrottaghd@cdbaby.com,14,921,3
15,bshafiere@about.me,15,921,5
16,csweedlandf@twitpic.com,16,921,4
17,cwaudbyg@dropbox.com,17,921,4
18,bmuntonh@artisteer.com,18,921,1
19,mcosgreavei@youtube.com,19,921,5
20,imoritj@hp.com,20,921,5
21,ccaselk@chron.com,21,922,3
22,wplacidol@usgs.gov,22,922,3
23,lcattanachm@tuttocitta.it,23,922,2
24,edowzelln@tinyurl.com,24,922,5
25,gpadulao@unc.edu,25,922,1
26,ldeverillep@noaa.gov,26,922,1
27,hbricketq@washingtonpost.com,27,922,4
28,greaganr@cafepress.com,28,922,4
29,jpelosis@sun.com,29,922,1
30,dhanhartt@psu.edu,30,922,4
31,jjohnu@nature.com,31,922,1
32,tglencorsev@tinyurl.com,32,922,2
33,ltooheyw@cyberchimps.com,33,922,5
34,ndeaguirrex@whitehouse.gov,34,922,5
35,wbramwelly@ask.com,35,922,2
36,lcuolahanz@infoseek.co.jp,36,922,2
37,gpoizer10@behance.net,37,922,4
38,rinkin11@nbcnews.com,38,922,2
39,mhuriche12@ning.com,39,922,5
40,kjurick13@auda.org.au,40,922,1
41,rmacieja14@deviantart.com,41,922,2
42,clidington15@archive.org,42,922,1
43,packlands16@geocities.com,43,922,1
44,bbrose17@dailymotion.com,44,922,3
45,jtwitching18@vinaora.com,45,922,3
46,gmundow19@acquirethisname.com,46,922,4
47,cbray1a@accuweather.com,47,923,5
48,tsnugg1b@seesaa.net,48,923,2
49,sbadland1c@delicious.com,49,923,4
50,bgair1d@yolasite.com,50,923,3
51,nhavik1e@oracle.com,51,923,1
52,hgebby1f@jalbum.net,52,923,3
53,tmonsey1g@google.it,53,923,1
54,cdripp1h@apache.org,54,923,2
55,ggoullee1i@homestead.com,55,923,3
56,ntibb1j@washington.edu,56,923,3
57,tmacpeice1k@bigcartel.com,57,923,3
58,vfosher1l@uiuc.edu,58,923,1
59,mkitchen1m@webmd.com,59,923,3
60,ghaws1n@samsung.com,60,923,3
61,sjaggs1o@shutterfly.com,61,923,3
62,gduding1p@eventbrite.com,62,923,3
63,edutnall1q@a8.net,63,923,1
64,rkeyse1r@reference.com,64,923,1
65,dpardey1s@japanpost.jp,65,923,4
66,sgoodsall1t@vistaprint.com,66,923,5
67,mstackbridge1u@themeforest.net,67,923,1
68,lkyle1v@nbcnews.com,68,923,4
69,mtrowsdall1w@sina.com.cn,69,923,5
70,msonghurst1x@oakley.com,70,923,4
71,mprewer1y@naver.com,71,923,4
72,rkeyser1z@prweb.com,72,923,2
73,ahackelton20@miitbeian.gov.cn,73,923,4
74,ksouthers21@ucsd.edu,74,923,3
75,hblenkinsop22@nsw.gov.au,75,923,3
76,vdelatour23@seesaa.net,76,923,3
77,snowakowski24@ftc.gov,77,923,5
78,mdrowsfield25@who.int,78,923,3
79,awodham26@angelfire.com,79,923,4
80,sgwilliam27@gnu.org,80,923,1
81,lsperry28@weather.com,81,923,1
82,clockney29@cloudflare.com,82,923,3
83,kangrove2a@sakura.ne.jp,83,923,2
84,ndenisovo2b@smugmug.com,84,923,4
85,cwenn2c@sourceforge.net,85,923,3
86,mdowner2d@house.gov,86,923,5
87,hgoldney2e@multiply.com,87,923,3
88,mlenahan2f@meetup.com,88,923,4
89,dbaylie2g@dion.ne.jp,89,923,2
90,pmattisson2h@mail.ru,90,923,1
91,lheadford2i@tripadvisor.com,91,923,2
92,ufinlan2j@flavors.me,92,923,2
93,gdieton2k@cdbaby.com,93,14,4
94,tosullivan2l@oracle.com,94,14,4
95,abowers2m@hao123.com,95,14,5
96,tlambourn2n@shinystat.com,96,14,1
97,twackett2o@nasa.gov,97,14,3
98,chambribe2p@timesonline.co.uk,98,14,5
99,krawes2q@4shared.com,99,14,3
100,nkinavan2r@indiegogo.com,100,14,5
101,cdametti2s@booking.com,101,14,4
102,kdodswell2t@spotify.com,102,14,1
103,mphilipson2u@google.de,103,14,1
104,tcranstone2v@addthis.com,104,14,2
105,jgaffer2w@goodreads.com,105,14,5
106,nlawless2x@bloglines.com,106,14,5
107,lwhall2y@dagondesign.com,107,14,2
108,lcuttin2z@123-reg.co.uk,108,14,2
109,llillie30@freewebs.com,109,14,5
110,acockman31@t.co,110,14,2
111,bsibbson32@surveymonkey.com,111,14,2
112,bhuortic33@rambler.ru,112,14,3
113,mmacrannell34@walmart.com,113,14,5
114,jcarcass35@newsvine.com,114,14,4
115,jfitzharris36@github.io,115,14,1
116,bciementini37@scribd.com,116,14,5
117,felsley38@washington.edu,117,14,1
118,dhaw39@fema.gov,118,14,2
119,njulyan3a@google.co.jp,119,14,2
120,dhedman3b@mysql.com,120,14,4
121,afortman3c@indiegogo.com,121,14,1
122,pmanshaw3d@ucla.edu,122,14,5
123,rromanini3e@indiatimes.com,123,14,2
124,lcorkill3f@ftc.gov,124,14,5
125,aohartnett3g@devhub.com,125,14,5
126,mconklin3h@economist.com,126,14,1
127,gcogswell3i@desdev.cn,127,14,5
128,mmarqyes3j@wisc.edu,128,14,2
129,jburner3k@whitehouse.gov,129,14,5
130,daldwick3l@npr.org,130,14,1
131,rvooght3m@miibeian.gov.cn,131,14,4
132,sgummow3n@naver.com,132,14,2
133,frope3o@nature.com,133,12,3
134,cscoles3p@ft.com,134,12,5
135,aswinbourne3q@wired.com,135,12,1
136,rcoils3r@shop-pro.jp,136,12,2
137,civerson3s@jiathis.com,137,12,1
138,nflewett3t@illinois.edu,138,12,1
139,tgraalman3u@mysql.com,139,12,1
140,cbarwood3v@bloglovin.com,140,12,1
141,jskull3w@soup.io,141,12,5
142,ahehnke3x@va.gov,142,12,3
143,wbarles3y@princeton.edu,143,12,2
144,sscatchard3z@example.com,144,12,4
145,kkinmond40@about.me,145,12,2
146,dpettegree41@rediff.com,146,12,1
147,dlindenblatt42@walmart.com,147,12,2
148,bjeandillou43@state.tx.us,148,12,4
149,abernaldez44@live.com,149,12,5
